src_ip,dst_ip,protocol_type,src_port,dst_port,frame_length,timestamp,duration,src_bytes,dst_bytes,service,flag,land,wrong_fragment,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,urgent,class
10.117.77.120,10.117.77.115,tcp,2518.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2519.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2520.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2521.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2524.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2525.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2528.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2529.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2532.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2533.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2538.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2539.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2542.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2543.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2544.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2545.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2548.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2549.0,80.0,60,2024-06-05 18:22:14.492434944,0.02089,134040.0,134040.0,http,S0,0,0,493,493,6.0628803245436105,6.0628803245436105,0.0,0.0,6.0628803245436105,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2482.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2483.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2486.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2487.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2488.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2489.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2492.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2493.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2496.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2497.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
10.117.77.120,10.117.77.115,tcp,2500.0,80.0,60,2024-06-05 18:22:14.492702976,0.02089,134040.0,134040.0,http,S0,0,0,549,549,5.444444444444445,5.444444444444445,0.0,0.0,5.444444444444445,0.0,0.0,2989.0,2989.0,1.0,0.00033456005352960856,0.7474071595851456,0.00033456005352960856,1.0,1.0,0.0,0.0,0,anomaly
