ip.src,ip.dst,ip.proto,ip.checksum,tcp.srcport,tcp.dstport,tcp.flags,frame.len,frame.time_epoch
"10.117.77.120","10.117.77.115","6","0xf3f4","3751","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0xa016","2274","80","0x0002","60","1717611734.502296000"
"10.117.77.120","10.117.77.115","6","0xa84d","3752","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x1a9e","2275","80","0x0002","60","1717611734.502296000"
"10.117.77.119","10.117.77.115","6","0x8e44","2219","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x6292","3698","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xea57","3699","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x644f","2222","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x77b5","2223","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x096a","2224","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xde40","3702","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0xb272","2225","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x4e86","3704","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xda76","3705","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x7ef4","2228","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x71ca","2229","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xfcc9","3708","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x49c5","3709","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x33b9","2234","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0x10aa","2235","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x1a1a","3714","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xf605","3715","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0xe539","2238","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0xaeec","2239","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x7e1b","3718","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x6108","3719","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0xd6b3","2242","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0xea37","3720","80","0x0002","60","1717611734.502407000"
"10.117.77.119","10.117.77.115","6","0xe655","2243","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x73a3","3721","80","0x0002","60","1717611734.502407000"
"10.117.77.120","10.117.77.115","6","0x389d","3748","80","0x0002","60","1717611734.502407000"
